Watch_ID,Brand,Model,Collection,Movement_Type,Case_Material,Dial_Color,Strap_Material,Water_Resistance_m,Release_Year,Price_USD,Units_Sold,Customer_Rating,Country,Warranty_Years
W00069,Hublot,Big Bang,Chronograph,Automatic,Stainless Steel,Green,Rubber,100,2002,123110,2073,3.1,Switzerland,3
W00070,Patek Philippe,Big Bang,Diver,Manual,Ceramic,Black,NATO,100,2000,33129,3181,4.2,Germany,5
W00071,Breitling,Speedmaster,Professional,Automatic,Titanium,Black,Stainless Steel,300,2012,58698,4370,3.5,USA,2
W00072,Omega,Santos,Professional,Quartz,Stainless Steel,Black,Leather,200,2014,71322,3902,4.7,USA,3
W00073,Omega,Carrera,Tourbillon,Quartz,Ceramic,Silver,Gold,200,2020,139442,1526,4.8,USA,3
W00074,Breitling,Nautilus,Chronograph,Manual,Ceramic,Gray,Leather,150,2009,74158,4197,4.2,Germany,3
W00075,Cartier,Carrera,Diver,Automatic,Ceramic,Blue,Gold,200,2002,119918,1433,3.5,Japan,5
W00076,Patek Philippe,Carrera,Professional,Quartz,Ceramic,White,NATO,150,2017,26296,2908,3.8,Switzerland,7
W00077,IWC Schaffhausen,Carrera,Classic,Automatic,Titanium,Gray,Stainless Steel,100,2018,125014,781,4.2,Germany,3
W00078,Panerai,Nautilus,GMT,Manual,Platinum,Black,Gold,50,2020,57775,2057,3.9,USA,5
W00079,Cartier,Nautilus,Heritage,Quartz,Ceramic,Silver,NATO,200,2004,78321,1797,4.6,Switzerland,2
W00080,Panerai,Royal Oak,GMT,Manual,Platinum,Green,Gold,200,2009,141974,2139,3.7,USA,5
W00081,Panerai,Navitimer,Heritage,Manual,Titanium,Blue,Rubber,100,2023,69569,1029,4.0,Japan,3
W00082,Cartier,Speedmaster,Classic,Automatic,Titanium,Silver,Leather,100,2015,100731,4468,3.4,Italy,2
W00083,Rolex,Luminor,Classic,Manual,Gold,Gray,Stainless Steel,200,2019,147438,4470,4.4,USA,5
W00084,Audemars Piguet,Royal Oak,Diver,Manual,Gold,White,NATO,100,2017,149372,4767,4.7,Italy,10
W00085,Panerai,Royal Oak,Aviator,Automatic,Ceramic,White,Stainless Steel,200,2007,89940,166,3.7,Japan,3
W00086,Cartier,Submariner,Sport,Automatic,Platinum,Green,Leather,50,2012,111779,630,4.9,Italy,7
W00087,Cartier,Luminor,Professional,Manual,Titanium,Black,Gold,500,2007,34791,2195,3.1,USA,5
W00088,Tag Heuer,Big Bang,Diver,Quartz,Stainless Steel,Black,Gold,50,2012,92799,2347,3.4,Japan,7
W00089,Rolex,Submariner,Aviator,Quartz,Gold,Silver,Stainless Steel,150,2023,6431,1560,3.8,Switzerland,5
W00090,Hublot,Big Bang,Sport,Automatic,Gold,Gray,Gold,200,2011,62725,235,3.8,Italy,2
W00091,Tag Heuer,Navitimer,Diver,Manual,Stainless Steel,Silver,Gold,500,2012,81477,1816,4.6,Italy,7
W00092,Tag Heuer,Portugieser,Tourbillon,Quartz,Platinum,Gray,Gold,50,2016,74291,3625,4.8,Germany,3
W00093,Breitling,Big Bang,Sport,Automatic,Platinum,Black,Rubber,500,2014,5640,4576,3.6,USA,7
W00094,Audemars Piguet,Carrera,GMT,Automatic,Platinum,Black,NATO,50,2008,65863,1858,4.3,USA,3
W00095,Cartier,Big Bang,Sport,Automatic,Ceramic,Silver,NATO,300,2019,127311,1466,4.1,Italy,2
W00096,Audemars Piguet,Luminor,GMT,Manual,Ceramic,Blue,Leather,500,2003,63624,4981,3.4,Italy,3
W00097,Patek Philippe,Nautilus,Elegance,Automatic,Stainless Steel,Gray,Gold,50,2023,119830,2831,3.7,Italy,5
W00098,Breitling,Luminor,Heritage,Quartz,Titanium,Gray,Stainless Steel,150,2011,61320,1825,3.0,USA,3
W00099,Hublot,Navitimer,GMT,Manual,Stainless Steel,White,Gold,50,2023,26996,3071,3.6,Germany,7
W00100,Audemars Piguet,Royal Oak,Classic,Quartz,Titanium,White,Leather,100,2021,55995,3694,3.2,Italy,7
W00101,Omega,Carrera,Tourbillon,Quartz,Stainless Steel,Green,Gold,300,2003,133511,242,4.8,USA,5
W00102,Panerai,Portugieser,Professional,Quartz,Ceramic,White,Rubber,200,2012,38320,4075,4.8,USA,3
W00103,Patek Philippe,Navitimer,Elegance,Manual,Platinum,Gray,Leather,150,2002,104245,1484,4.4,Germany,3
W00104,Rolex,Royal Oak,Elegance,Quartz,Gold,Silver,NATO,500,2004,37704,2291,5.0,Germany,3
W00105,Hublot,Santos,Chronograph,Automatic,Stainless Steel,Blue,NATO,500,2012,126582,3934,4.2,Germany,10
W00106,Patek Philippe,Luminor,Diver,Automatic,Stainless Steel,Silver,Rubber,50,2013,85090,366,3.4,Switzerland,10
W00107,Panerai,Navitimer,Diver,Quartz,Gold,Black,NATO,200,2007,146363,4522,4.8,Switzerland,7
W00108,Breitling,Luminor,Diver,Automatic,Stainless Steel,Gray,Rubber,50,2022,127782,2394,3.4,Italy,7
W00109,Panerai,Portugieser,Sport,Manual,Platinum,Black,NATO,300,2010,118862,239,3.5,USA,2
W00110,Tag Heuer,Royal Oak,Professional,Manual,Gold,Gray,NATO,200,2007,149163,2714,4.3,Germany,3
W00111,Panerai,Luminor,Heritage,Automatic,Gold,White,Gold,100,2011,135839,4135,3.3,Switzerland,7
W00112,Tag Heuer,Nautilus,GMT,Automatic,Platinum,Blue,Leather,500,2010,51580,3869,4.2,Italy,2
W00113,Breitling,Big Bang,Diver,Manual,Platinum,Gray,NATO,100,2016,130861,2274,3.6,USA,10
W00114,IWC Schaffhausen,Submariner,Elegance,Quartz,Gold,Green,Leather,500,2012,30186,1819,4.3,Germany,7
W00115,Tag Heuer,Portugieser,GMT,Manual,Platinum,Silver,Leather,200,2003,137865,4892,4.6,Switzerland,3
W00116,Rolex,Submariner,Professional,Quartz,Platinum,Green,NATO,100,2012,31049,1818,3.8,Switzerland,7
W00117,Panerai,Speedmaster,Elegance,Automatic,Platinum,Green,Leather,150,2008,126946,3011,3.7,USA,10
W00118,Panerai,Big Bang,Classic,Automatic,Gold,Green,Rubber,500,2021,125423,2831,3.7,Switzerland,2
W00119,Rolex,Portugieser,Professional,Quartz,Stainless Steel,Green,Stainless Steel,300,2013,26318,4630,3.7,USA,2
W00120,Omega,Navitimer,Sport,Quartz,Titanium,Silver,Rubber,150,2011,38533,3894,4.6,Germany,2
W00121,Cartier,Nautilus,Diver,Manual,Gold,Black,NATO,200,2023,79344,700,3.9,USA,3
W00122,IWC Schaffhausen,Navitimer,Aviator,Quartz,Titanium,Silver,Rubber,150,2012,146574,2101,4.4,Germany,7
W00123,Hublot,Santos,Tourbillon,Automatic,Platinum,Black,Stainless Steel,500,2007,69172,173,4.5,Japan,7
W00124,Tag Heuer,Speedmaster,Elegance,Automatic,Platinum,Black,Rubber,300,2004,23557,1956,4.1,Switzerland,2
W00125,Rolex,Nautilus,Chronograph,Automatic,Stainless Steel,Silver,Leather,300,2010,48100,3836,3.9,Japan,5
W00126,Breitling,Luminor,Chronograph,Quartz,Platinum,Silver,NATO,500,2023,81920,4768,3.8,USA,10
W00127,Tag Heuer,Luminor,Tourbillon,Quartz,Titanium,Silver,Leather,200,2019,67688,1357,4.3,Germany,7
W00128,Cartier,Carrera,Heritage,Automatic,Gold,Gray,Leather,500,2005,33162,4073,4.0,Switzerland,10
W00129,Breitling,Luminor,Heritage,Quartz,Gold,Black,NATO,150,2006,121839,4338,3.6,Italy,3
W00130,Patek Philippe,Royal Oak,Tourbillon,Manual,Stainless Steel,Silver,NATO,500,2021,73255,1107,4.1,Switzerland,7
W00131,Panerai,Speedmaster,Aviator,Manual,Titanium,Blue,Gold,300,2021,44235,2169,4.3,Italy,3
W00132,Patek Philippe,Royal Oak,Sport,Quartz,Platinum,White,Stainless Steel,200,2023,68881,65,4.1,Switzerland,3
W00133,Tag Heuer,Big Bang,Professional,Quartz,Ceramic,White,Leather,500,2014,122074,3205,3.0,Germany,7
W00134,Cartier,Carrera,Aviator,Automatic,Stainless Steel,Blue,Leather,300,2004,104508,1215,5.0,USA,10
W00135,IWC Schaffhausen,Carrera,GMT,Quartz,Stainless Steel,White,NATO,500,2023,21971,4779,4.5,Germany,7
W00136,Tag Heuer,Luminor,Diver,Automatic,Ceramic,Black,NATO,50,2008,49703,2799,3.5,Switzerland,2
W00137,Rolex,Nautilus,Heritage,Manual,Gold,Silver,Rubber,50,2019,91533,2547,4.5,Italy,3
W00138,Audemars Piguet,Big Bang,Elegance,Quartz,Gold,Silver,Leather,300,2018,58046,3403,4.5,Germany,3
W00139,Tag Heuer,Santos,Heritage,Manual,Gold,Gray,Leather,200,2004,54945,2314,4.2,Germany,10
W00140,Panerai,Speedmaster,Chronograph,Quartz,Ceramic,Silver,NATO,50,2012,18525,3501,4.2,Italy,2
W00141,Panerai,Speedmaster,Elegance,Quartz,Platinum,Blue,Leather,300,2011,96361,3105,3.3,Japan,5
W00142,Tag Heuer,Portugieser,GMT,Automatic,Platinum,Blue,Stainless Steel,500,2004,80349,770,3.7,Switzerland,10
W00143,Breitling,Navitimer,GMT,Automatic,Titanium,Black,Gold,100,2006,17693,2639,4.2,Germany,5
W00144,Audemars Piguet,Luminor,Diver,Quartz,Titanium,Blue,NATO,500,2002,24973,2045,3.2,Germany,2
W00145,Rolex,Portugieser,Classic,Quartz,Gold,Gray,NATO,150,2012,142694,1642,5.0,Switzerland,3
W00146,Tag Heuer,Santos,Chronograph,Automatic,Ceramic,Silver,Leather,300,2010,53419,2777,3.2,Italy,2
W00147,Breitling,Carrera,Tourbillon,Manual,Stainless Steel,Gray,Gold,50,2009,40594,4941,3.8,Switzerland,2
W00148,Panerai,Submariner,Heritage,Quartz,Platinum,Black,Gold,300,2008,97497,4242,4.8,USA,10
W00149,Panerai,Santos,Diver,Automatic,Ceramic,Black,NATO,500,2005,27391,735,3.0,USA,3
W00150,Cartier,Santos,Diver,Quartz,Titanium,Silver,NATO,200,2013,111754,4602,4.4,Germany,3
W00151,Tag Heuer,Nautilus,Classic,Automatic,Platinum,Green,NATO,50,2009,58605,2825,3.8,USA,3
W00152,Audemars Piguet,Nautilus,GMT,Manual,Platinum,Silver,Stainless Steel,200,2024,129151,593,4.4,Switzerland,7
W00153,Omega,Nautilus,Chronograph,Quartz,Ceramic,Black,Leather,200,2016,14936,4232,4.3,Germany,2
W00154,Audemars Piguet,Nautilus,Elegance,Quartz,Titanium,Green,Stainless Steel,500,2001,18917,2835,4.2,USA,3
W00155,Panerai,Navitimer,Chronograph,Manual,Ceramic,Silver,NATO,200,2001,75173,2091,4.7,Italy,7
W00156,Panerai,Luminor,Chronograph,Quartz,Stainless Steel,Silver,Gold,300,2023,65596,1739,3.0,USA,10
W00157,Patek Philippe,Speedmaster,Heritage,Quartz,Platinum,Green,Leather,50,2003,34802,1399,3.3,Italy,7
W00158,Panerai,Luminor,Elegance,Quartz,Ceramic,Green,Leather,200,2006,144486,2275,4.6,USA,10
W00159,Rolex,Luminor,Aviator,Automatic,Ceramic,White,NATO,100,2019,56359,1617,4.3,Italy,5
W00160,Hublot,Speedmaster,Elegance,Automatic,Stainless Steel,Gray,NATO,150,2003,149239,235,4.9,Switzerland,2
W00161,Tag Heuer,Nautilus,Diver,Quartz,Ceramic,Green,NATO,300,2007,143239,625,3.9,Switzerland,7
W00162,Audemars Piguet,Luminor,Classic,Manual,Platinum,Blue,NATO,100,2013,111352,4478,4.1,Japan,10
W00163,Hublot,Navitimer,Chronograph,Manual,Gold,Green,NATO,50,2019,115863,2992,4.2,Switzerland,5
W00164,Breitling,Nautilus,Elegance,Quartz,Gold,Black,NATO,150,2002,41261,4378,3.4,USA,3
W00165,Omega,Navitimer,Diver,Automatic,Titanium,Green,Leather,200,2010,82661,4301,3.3,Germany,5
W00166,Rolex,Portugieser,Professional,Automatic,Stainless Steel,Silver,Stainless Steel,100,2024,140667,2962,3.5,Italy,3
W00167,Audemars Piguet,Luminor,GMT,Quartz,Titanium,Blue,Gold,100,2002,74591,2041,3.8,Switzerland,10
W00168,Hublot,Royal Oak,Classic,Automatic,Gold,Green,NATO,200,2004,34928,3329,4.0,Germany,2
W00169,Omega,Navitimer,Sport,Automatic,Stainless Steel,Blue,Gold,500,2015,74204,2984,3.9,Italy,5
W00170,Patek Philippe,Portugieser,Tourbillon,Manual,Ceramic,Gray,Leather,500,2010,111107,4440,4.6,Italy,10
W00171,Rolex,Big Bang,Diver,Quartz,Ceramic,White,Gold,200,2000,41425,2817,3.3,Italy,10
W00172,Rolex,Big Bang,Chronograph,Automatic,Platinum,Blue,Leather,100,2008,52320,4958,3.7,Switzerland,10
W00173,Patek Philippe,Portugieser,Classic,Automatic,Gold,Silver,Rubber,50,2021,63719,4286,4.9,Italy,3
W00174,Tag Heuer,Carrera,GMT,Automatic,Ceramic,White,Stainless Steel,300,2004,114856,964,4.5,Japan,2
W00175,Patek Philippe,Carrera,Elegance,Quartz,Stainless Steel,Green,Rubber,50,2019,128952,2300,3.9,Switzerland,5
W00176,Rolex,Nautilus,Professional,Quartz,Ceramic,Gray,Leather,50,2023,123295,908,4.2,Germany,3
W00177,Rolex,Carrera,Sport,Automatic,Titanium,Gray,Rubber,300,2010,139420,769,3.9,Japan,2
W00178,Hublot,Big Bang,GMT,Manual,Titanium,Gray,Leather,50,2001,109130,1978,3.8,Japan,2
W00179,Panerai,Carrera,Professional,Manual,Titanium,Blue,Rubber,150,2009,61780,4478,3.3,Switzerland,3
W00180,Omega,Royal Oak,Tourbillon,Quartz,Titanium,White,Leather,200,2004,103216,196,3.3,Italy,5
W00181,Patek Philippe,Big Bang,Classic,Manual,Titanium,Green,Stainless Steel,100,2023,11560,3496,3.6,Japan,3
W00182,Omega,Navitimer,Aviator,Automatic,Platinum,Gray,Stainless Steel,300,2016,123303,1007,3.7,USA,2
W00183,Patek Philippe,Santos,Heritage,Quartz,Titanium,Gray,Stainless Steel,50,2011,148977,2925,3.5,Germany,5
W00184,Breitling,Carrera,Classic,Quartz,Platinum,Gray,Leather,100,2002,100732,2907,4.2,USA,10
W00185,Rolex,Carrera,Sport,Manual,Platinum,Gray,Gold,500,2006,53792,2147,4.2,Switzerland,10
W00186,Panerai,Luminor,Aviator,Quartz,Ceramic,Green,Rubber,150,2010,57667,3105,3.1,Japan,7
W00187,Hublot,Speedmaster,Aviator,Manual,Stainless Steel,Blue,Rubber,50,2010,29425,116,4.3,Italy,7
W00188,Panerai,Royal Oak,Tourbillon,Manual,Titanium,Gray,Rubber,50,2011,18106,1074,3.9,Italy,10
W00189,Panerai,Big Bang,Heritage,Automatic,Stainless Steel,Gray,Rubber,50,2004,41464,2230,4.1,Japan,3
W00190,Panerai,Big Bang,Aviator,Manual,Gold,Blue,Stainless Steel,150,2009,137284,3474,4.8,Japan,7
W00191,Omega,Submariner,Diver,Manual,Platinum,White,Gold,200,2024,35550,1672,3.4,Italy,7
W00192,Patek Philippe,Speedmaster,GMT,Quartz,Gold,Blue,Rubber,100,2011,66019,2755,3.8,Germany,5
W00193,IWC Schaffhausen,Carrera,Aviator,Automatic,Platinum,Green,Gold,50,2013,133715,117,4.0,Switzerland,3
W00194,Breitling,Portugieser,Aviator,Automatic,Titanium,Silver,Leather,500,2000,108934,922,4.2,Germany,3
W00195,Audemars Piguet,Luminor,GMT,Manual,Gold,White,Leather,50,2013,24170,4242,4.4,Italy,3
W00196,Panerai,Navitimer,Elegance,Quartz,Ceramic,Silver,Rubber,150,2006,57221,523,3.3,Switzerland,5
W00197,Tag Heuer,Luminor,Tourbillon,Quartz,Gold,Gray,NATO,150,2009,106144,2887,4.5,Switzerland,7
W00198,Omega,Carrera,Aviator,Quartz,Platinum,Silver,Stainless Steel,100,2011,100678,2895,3.4,Italy,5
W00199,Hublot,Submariner,Aviator,Automatic,Platinum,Green,Rubber,100,2005,99435,2866,4.9,Italy,10
W00200,Audemars Piguet,Santos,Heritage,Automatic,Stainless Steel,Silver,Stainless Steel,500,2015,36284,2167,3.2,Japan,2
W00201,IWC Schaffhausen,Big Bang,Professional,Manual,Gold,Black,Rubber,50,2009,21257,642,5.0,Japan,10
W00202,Tag Heuer,Navitimer,Elegance,Manual,Ceramic,White,Stainless Steel,500,2019,109386,2832,4.9,Japan,10
W00203,IWC Schaffhausen,Speedmaster,Chronograph,Quartz,Titanium,Green,NATO,500,2011,117331,1380,4.8,Italy,7
W00204,Audemars Piguet,Carrera,Elegance,Manual,Stainless Steel,Blue,NATO,500,2009,12903,4981,3.1,Germany,7
W00205,Panerai,Royal Oak,GMT,Quartz,Gold,Green,Leather,50,2009,120958,635,3.4,Switzerland,2
W00206,Tag Heuer,Portugieser,Heritage,Automatic,Stainless Steel,Blue,Rubber,50,2021,108175,3310,4.1,Germany,7
W00207,IWC Schaffhausen,Luminor,Tourbillon,Manual,Gold,Green,NATO,50,2010,73794,2406,4.4,USA,3
W00208,Hublot,Submariner,Classic,Quartz,Titanium,Black,NATO,50,2008,42708,2456,4.5,Germany,10
W00209,Patek Philippe,Santos,Heritage,Automatic,Titanium,White,Rubber,500,2008,85030,4359,3.1,USA,2
W00210,Rolex,Nautilus,Sport,Quartz,Ceramic,Gray,Rubber,150,2011,73725,3632,4.4,USA,2
W00211,Patek Philippe,Portugieser,GMT,Manual,Stainless Steel,Gray,Leather,200,2001,34056,903,4.0,Switzerland,7
W00212,Audemars Piguet,Carrera,Professional,Quartz,Ceramic,Silver,NATO,100,2013,115965,184,3.6,Switzerland,2
W00213,Omega,Santos,Sport,Automatic,Gold,Green,Stainless Steel,150,2008,52507,2136,4.4,USA,2
W00214,Rolex,Portugieser,Sport,Manual,Titanium,White,Rubber,300,2017,67812,4950,3.5,Italy,3
W00215,Breitling,Portugieser,Tourbillon,Automatic,Titanium,White,Rubber,300,2021,80872,2160,4.3,USA,10
W00216,Hublot,Big Bang,Chronograph,Manual,Platinum,White,Rubber,300,2022,27093,772,4.2,Japan,2
W00217,Breitling,Portugieser,Classic,Quartz,Platinum,White,Rubber,100,2024,82578,3195,4.2,Switzerland,2
W00218,Tag Heuer,Royal Oak,Aviator,Automatic,Ceramic,White,NATO,50,2012,106309,433,4.1,Germany,2
W00219,Rolex,Santos,Diver,Automatic,Stainless Steel,Silver,Stainless Steel,300,2021,22591,662,3.5,Switzerland,5
W00220,Breitling,Carrera,Aviator,Quartz,Gold,Gray,Leather,300,2015,39685,4847,3.4,Italy,3
W00221,Breitling,Carrera,Sport,Automatic,Ceramic,Silver,Gold,200,2012,138851,4771,3.8,Japan,10
W00222,IWC Schaffhausen,Royal Oak,Elegance,Automatic,Titanium,Green,NATO,150,2007,146313,4058,4.9,Italy,5
W00223,Patek Philippe,Speedmaster,Diver,Automatic,Titanium,Gray,NATO,500,2011,149460,1866,4.6,Germany,2
W00224,IWC Schaffhausen,Santos,Tourbillon,Automatic,Titanium,Gray,Gold,100,2018,139114,205,3.8,Switzerland,7
W00225,Rolex,Portugieser,Classic,Quartz,Gold,Blue,Gold,100,2009,74086,2338,4.4,Germany,2
W00226,Rolex,Submariner,Tourbillon,Automatic,Ceramic,Green,Rubber,200,2021,9494,4637,3.6,Japan,3
W00227,Audemars Piguet,Navitimer,GMT,Automatic,Gold,White,Stainless Steel,300,2001,6062,4867,3.4,Germany,2
W00228,IWC Schaffhausen,Santos,Professional,Automatic,Titanium,Blue,NATO,500,2014,107945,4897,4.2,USA,7
